time,value
2023-08-28T00:25:02.796Z,99
2023-08-28T00:25:04.801Z,100
2023-08-28T00:25:36.981Z,99
2023-08-28T00:25:41.012Z,100
2023-08-28T00:25:43.022Z,99
2023-08-28T00:25:47.057Z,100
2023-08-28T00:25:49.068Z,99
2023-08-28T00:25:53.093Z,100
2023-08-28T00:25:59.127Z,99
2023-08-28T00:26:03.158Z,100
2023-08-28T00:26:05.168Z,99
2023-08-28T00:26:19.262Z,100
2023-08-28T00:26:21.271Z,99
2023-08-28T00:26:25.308Z,100
2023-08-28T00:26:27.313Z,99
2023-08-28T00:26:35.378Z,100
2023-08-28T00:26:37.392Z,99
2023-08-28T00:26:43.427Z,98
2023-08-28T00:26:45.442Z,99
2023-08-28T00:26:51.483Z,100
2023-08-28T00:26:53.498Z,99
2023-08-28T00:27:09.612Z,100
2023-08-28T00:27:11.622Z,99
2023-08-28T00:27:43.847Z,98
2023-08-28T00:27:45.863Z,99
2023-08-28T00:27:49.887Z,98
2023-08-28T00:27:51.901Z,99
2023-08-28T00:27:57.937Z,98
2023-08-28T00:28:10.027Z,99
2023-08-28T00:28:12.043Z,98
2023-08-28T00:28:16.068Z,100
2023-08-28T00:28:18.079Z,98
2023-08-28T00:28:26.132Z,99
2023-08-28T00:28:28.15Z,98
2023-08-28T00:28:42.246Z,100
2023-08-28T00:28:46.271Z,98
2023-08-28T00:29:08.429Z,100
2023-08-28T00:29:10.441Z,98
2023-08-28T00:29:18.489Z,97
2023-08-28T00:29:20.515Z,98
2023-08-28T00:30:22.937Z,97
2023-08-28T00:30:24.949Z,98
2023-08-28T00:30:26.969Z,97
2023-08-28T00:30:28.972Z,98
2023-08-28T00:30:35.041Z,97
2023-08-28T00:30:37.036Z,98
2023-08-28T00:30:45.091Z,97
2023-08-28T00:30:47.101Z,98
2023-08-28T00:30:49.113Z,97
2023-08-28T00:30:59.176Z,100
2023-08-28T00:31:01.205Z,98
2023-08-28T00:31:03.207Z,97
2023-08-28T00:31:37.451Z,100
2023-08-28T00:31:39.467Z,97
2023-08-28T00:31:41.481Z,100
2023-08-28T00:31:43.492Z,97
2023-08-28T00:32:19.742Z,100
2023-08-28T00:32:21.758Z,97
2023-08-28T00:32:39.884Z,98
2023-08-28T00:32:41.897Z,96
2023-08-28T00:32:43.911Z,97
2023-08-28T00:32:49.96Z,96
2023-08-28T00:33:00.027Z,97
2023-08-28T00:33:02.03Z,96
2023-08-28T00:33:30.227Z,100
2023-08-28T00:33:32.241Z,96
2023-08-28T00:34:08.488Z,95
2023-08-28T00:34:10.508Z,96
2023-08-28T00:34:24.606Z,100
2023-08-28T00:34:26.617Z,96
2023-08-28T00:34:30.648Z,95
2023-08-28T00:34:32.667Z,96
2023-08-28T00:35:04.881Z,95
2023-08-28T00:35:08.914Z,100
